t_s,cmd_velocity_rps_out,phase,mode,velocity_rps_out,q_current_A,d_current_A,voltage_q_V,voltage_d_V,bus_voltage_V,fet_temp_C,fault,omega_e_rad_s,vq_corrected_V
0.0,0.0,ramp,0,-1.3103186574880965e-05,0.8596897125244141,0.2202167510986328,0.0,0.0,24.0,32.0,0,-0.05763082455516742,-0.40608139475174787
0.0214,0.00428,ramp,10,-1.3103186574880965e-05,-2.961698442049965e-09,2.6994313451211838e-09,0.0,0.0,24.0,32.0,0,-0.05763082455516742,1.3990754521921952e-09
0.0411,0.00822,ramp,10,0.0003401675494387746,-0.020963406190276146,0.018142644315958023,0.0,0.0,24.0,32.0,0,1.4961350240290956,0.00988968291272679
0.0611,0.01222,ramp,10,-1.5816924133105204e-05,1.9273116436124837e-09,-0.0868622288107872,0.0,0.0,24.0,32.0,0,-0.06956646572253058,-2.827364379057333e-06
0.0811,0.01621,ramp,10,0.00022094133601058275,0.09166307747364044,0.01589031144976616,0.0,0.0,24.0,32.0,0,0.971750749319225,-0.04330565226967963
0.101,0.02021,ramp,10,4.841769623453729e-05,-0.13312572240829468,0.0497150793671608,0.0,0.0,24.0,32.0,0,0.21295215031183035,0.06287897985921882
0.1201,0.02402,ramp,10,-1.3062358448223677e-05,-0.08276394009590149,-0.12143844366073608,0.0,0.0,24.0,32.0,0,-0.0574512530752945,0.03909152519045297
0.141,0.02821,ramp,10,-1.7653439499554224e-05,-0.1235867589712143,0.10339289158582687,0.0,0.0,24.0,32.0,0,-0.07764388217934799,0.058381814392728264
0.1604,0.03208,ramp,10,-0.0002618394501041621,0.050751447677612305,-0.017583411186933517,0.0,0.0,24.0,32.0,0,-1.1516300500141177,-0.02398267926473217
0.1808,0.03617,ramp,10,-4.8118097765836865e-05,0.019624672830104828,0.017905771732330322,0.0,0.0,24.0,32.0,0,-0.21163444742421594,-0.00926823606437669
0.2011,0.04021,ramp,10,0.0004623928980436176,0.041376881301403046,-0.052958883345127106,0.0,0.0,24.0,32.0,0,2.0337101841922927,-0.01949461277125307
0.221,0.04421,ramp,10,0.0004248276527505368,-0.04158356785774231,0.033995121717453,0.0,0.0,24.0,32.0,0,1.868489606092035,0.01961291096078127
0.2411,0.04822,ramp,10,-1.3184691852075048e-05,-0.21649305522441864,0.1171019971370697,0.0,0.0,24.0,32.0,0,-0.05798930348725384,0.10226691834344614
0.2611,0.05222,ramp,10,-1.3184691852075048e-05,-0.05024440214037895,-0.01898323744535446,0.0,0.0,24.0,32.0,0,-0.05798930348725384,0.02373318210958102
0.2811,0.05623,ramp,10,0.00013948502601124346,0.7348626852035522,-1.3121391534805298,0.0,0.0,24.0,32.0,0,0.6134871862037852,-0.3467468850554983
0.3011,0.06021,ramp,10,-1.5470015569007955e-05,0.08348135650157928,-0.06760405749082565,0.0,0.0,24.0,32.0,0,-0.06804068216752117,-0.039435822518768905
0.321,0.06421,ramp,10,0.00021892142831347883,-0.041911907494068146,0.033587746322155,0.0,0.0,24.0,32.0,0,0.9628667312642134,0.01978259100058445
0.3411,0.06822,ramp,10,0.0002098208206007257,0.049928005784749985,0.019800420850515366,0.0,0.0,24.0,32.0,0,0.9228401679971907,-0.023592789417433147
0.3606,0.07211,ramp,10,1.3668329302163329e-05,-0.035628706216812134,0.08593708276748657,0.0,0.0,24.0,32.0,0,0.06011645209153139,0.016827337322342362
0.3811,0.07623,ramp,10,-1.3123335520504043e-05,-0.042618125677108765,0.032688770443201065,0.0,0.0,24.0,32.0,0,-0.05771944424653329,0.020132193470059054
0.4011,0.08021,ramp,10,-1.3123335520504043e-05,-0.007000240497291088,-0.05325276777148247,0.0,0.0,24.0,32.0,0,-0.05771944424653329,0.003305230879119057
0.4212,0.08424,ramp,10,0.00016433841665275395,0.049601390957832336,0.020604876801371574,0.0,0.0,24.0,32.0,0,0.7227981074424185,-0.023436927273492947
0.4411,0.08822,ramp,10,-1.3143668184056878e-05,0.014000099152326584,0.1065056249499321,0.0,0.0,24.0,32.0,0,-0.05780887197155698,-0.006610276931824859
0.4605,0.0921,ramp,10,-1.3143668184056878e-05,0.0,0.0,0.0,0.0,24.0,32.0,0,-0.05780887197155698,0.0
0.4811,0.09622,ramp,10,-2.8590327929123305e-05,-0.07569128274917603,0.03358921408653259,0.0,0.0,24.0,32.0,0,-0.1257468298601996,0.03575588841621342
0.5011,0.1,dwell,10,0.00014797352196183056,-0.013921312987804413,-0.053257957100868225,0.0,0.0,24.0,32.0,0,0.6508215413295327,0.006592153787384436
0.5218,0.1,dwell,10,4.506521236180561e-06,0.1418541669845581,0.008451130241155624,0.0,0.0,24.0,32.0,0,0.01982071561236374,-0.06700702193876758
0.5421,0.1,dwell,10,0.0002292056306032464,0.04961439222097397,-0.0653587132692337,0.0,0.0,24.0,32.0,0,1.0080990153704046,-0.02340528344163562
0.5616,0.1,dwell,10,9.968874792321003e-07,0.04950767010450363,-0.06492117047309875,0.0,0.0,24.0,32.0,0,0.004384540133695699,-0.023385557444974718
0.5821,0.1,dwell,10,-9.348412277176976e-06,-0.049509450793266296,-0.020824911072850227,0.0,0.0,24.0,32.0,0,-0.04111646466579094,0.023386131217126554
0.6021,0.1,dwell,10,2.8537242542370223e-06,0.09229907393455505,-0.07411380857229233,0.0,0.0,24.0,32.0,0,0.012551334813474854,-0.04359841694810196
0.6221,0.1,dwell,10,-0.00023555755615234375,0.10632191598415375,0.09428507089614868,0.0,0.0,24.0,32.0,0,-1.0360362430680756,-0.05017706103029648
0.6421,0.1,dwell,10,0.00014489240129478276,0.13512350618839264,0.020863620564341545,0.0,0.0,24.0,32.0,0,0.6372700648561432,-0.06383383405292112
0.6621,0.1,dwell,10,0.00033280145726166666,0.04933791607618332,0.010873282328248024,0.0,0.0,24.0,32.0,0,1.463737258532121,-0.0233129492147946
0.6822,0.1,dwell,10,0.0009742510737851262,-0.01440815906971693,0.023681793361902237,0.0,0.0,24.0,32.0,0,4.284980022617448,0.006758444959036559
0.703,0.1,dwell,10,-7.535827171523124e-05,-0.04720747470855713,-0.025618676096200943,0.0,0.0,24.0,32.0,0,-0.33144298993091154,0.02229518708984124
0.7222,0.1,dwell,10,-7.435845327563584e-05,0.04579037055373192,-0.028073197230696678,0.0,0.0,24.0,32.0,0,-0.32704555876025243,-0.02163406287214038
0.7421,0.1,dwell,10,0.000668891123495996,0.0941954180598259,-0.051639851182699203,0.0,0.0,24.0,32.0,0,2.941936815477022,-0.044423557975956846
0.7632,0.1,dwell,10,0.0008627991192042828,0.10236784815788269,-0.014110246673226357,0.0,0.0,24.0,32.0,0,3.7947887241822866,-0.04832994289255929
0.7833,0.1,dwell,10,0.0006807055324316025,0.032342515885829926,0.07161614298820496,0.0,0.0,24.0,32.0,0,2.9938992999230716,-0.015377762861821813
0.8022,0.1,dwell,10,0.002383374609053135,0.12515030801296234,0.011714949272572994,0.0,0.0,24.0,32.0,0,10.482629027575282,-0.05917406619796271
0.8222,0.1,dwell,10,0.0024824817664921284,0.026493974030017853,-0.04672185704112053,0.0,0.0,24.0,32.0,0,10.918525072395196,-0.012276212503327433
0.8414,0.1,dwell,10,0.00444602919742465,-0.028158139437437057,-0.05246594175696373,0.0,0.0,24.0,32.0,0,19.55465772998501,0.013780806222817106
0.8621,0.1,dwell,10,0.0016313721425831318,0.08936098217964172,-0.07738316059112549,0.0,0.0,24.0,32.0,0,7.17514943377429,-0.04195129049518814
0.8816,0.1,dwell,10,9.345151192974299e-05,0.048441868275403976,-0.05355198308825493,0.0,0.0,24.0,32.0,0,0.41102121668347535,-0.02287194752811197
