t_s,phase,torque_step_Nm,mode,velocity_rps_out,orbis_unwrapped_output_rev,q_current_A,bus_voltage_V,fet_temp_C,fault,bissc_crc_delta
0.0,escalate,3.0,0,1.5508647265960462e-05,0.0,0.5302755832672119,24.0,34.0,0,0.0
0.0187,escalate,3.0,10,1.5508647265960462e-05,0.0,-0.03921811282634735,23.5,34.0,0,0.0
0.02,escalate,3.0,10,1.5508647265960462e-05,0.0,-0.03349974378943443,24.0,34.0,0,0.0
0.031,escalate,3.0,10,1.5508647265960462e-05,0.0,0.08660855144262314,23.5,34.0,0,0.0
0.0402,escalate,3.0,10,1.5508647265960462e-05,0.0,-0.03349974378943443,23.5,34.0,0,0.0
0.0511,escalate,3.0,10,1.5508647265960462e-05,0.0,0.03921812027692795,23.5,34.0,0,0.0
0.061,escalate,3.0,10,1.5508647265960462e-05,0.0,0.019609060138463974,23.5,34.0,0,0.0
0.071,escalate,3.0,10,-0.00011163449380546808,-1e-06,0.05312953144311905,23.5,34.0,0,0.0
0.0808,escalate,3.0,10,-1.856757080531679e-05,-1e-06,-0.08640779554843903,24.0,34.0,0,0.0
0.091,escalate,3.0,10,1.3141687304596417e-05,-1e-06,0.03325991705060005,23.5,34.0,0,0.0
0.101,escalate,3.0,10,1.3141687304596417e-05,-1e-06,0.09294109046459198,23.5,34.0,0,0.0
0.1102,escalate,3.0,10,1.3141687304596417e-05,-1e-06,-0.07304736971855164,23.5,34.0,0,0.0
0.1211,escalate,3.0,10,1.3141687304596417e-05,-1e-06,-0.03978744149208069,23.5,34.0,0,0.0
0.131,escalate,3.0,10,1.3141687304596417e-05,-1e-06,-0.10630729049444199,24.0,34.0,0,0.0
0.141,escalate,3.0,10,1.3141687304596417e-05,-1e-06,-0.08641356229782104,23.5,34.0,0,0.0
0.151,escalate,3.0,10,1.3141687304596417e-05,-1e-06,-0.04662612825632095,24.0,34.0,0,0.0
0.161,escalate,3.0,10,1.3141687304596417e-05,-1e-06,-0.13956721127033234,23.5,34.0,0,0.0
0.171,escalate,3.0,10,1.3141687304596417e-05,-1e-06,-0.10630729049444199,24.0,34.0,0,0.0
0.181,escalate,3.0,10,1.3141687304596417e-05,-1e-06,-0.09294109046459198,23.5,34.0,0,0.0
0.1911,escalate,3.0,10,1.3141687304596417e-05,-1e-06,-0.03978744149208069,23.5,34.0,0,0.0
0.2004,escalate,3.0,10,1.3141687304596417e-05,-1e-06,-0.08641356229782104,24.0,34.0,0,0.0
0.2226,escalate,3.0,10,1.3141687304596417e-05,-1e-06,-0.09294109046459198,23.5,34.0,0,0.0
0.2243,escalate,3.0,10,1.3141687304596417e-05,-1e-06,-0.0665198415517807,24.0,34.0,0,0.0
0.2306,escalate,3.0,10,1.3141687304596417e-05,-1e-06,0.05315364524722099,23.5,34.0,0,0.0
0.241,escalate,3.0,10,1.3141687304596417e-05,-1e-06,0.07304736971855164,23.5,34.0,0,0.0
0.2509,escalate,3.0,10,-0.0001779096928657964,-3e-06,0.020214632153511047,23.5,34.0,0,0.0
0.2608,escalate,3.0,10,6.74306704695482e-07,-2e-06,-0.0275261253118515,23.5,34.0,0,0.0
0.2711,escalate,3.0,10,1.310090647166362e-05,-2e-06,-0.05319670960307121,24.0,34.0,0,0.0
0.281,escalate,3.0,10,1.310090647166362e-05,-2e-06,-0.10639344155788422,23.5,34.0,0,0.0
0.291,escalate,3.0,10,1.310090647166362e-05,-2e-06,-0.007335544563829899,23.5,34.0,0,0.0
0.301,escalate,3.0,10,1.310090647166362e-05,-2e-06,-0.05319672077894211,23.5,34.0,0,0.0
0.3104,escalate,3.0,10,1.310090647166362e-05,-2e-06,-0.05319672077894211,23.5,34.0,0,0.0
0.321,escalate,3.0,10,1.310090647166362e-05,-2e-06,0.020177418366074562,23.5,34.0,0,0.0
0.3304,escalate,3.0,10,1.310090647166362e-05,-2e-06,0.0330192930996418,23.5,34.0,0,0.0
0.341,escalate,3.0,10,1.310090647166362e-05,-2e-06,-0.040354836732149124,23.5,34.0,0,0.0
0.351,escalate,3.0,10,-0.00016093277372419834,-3e-06,-0.05322273075580597,23.5,34.0,0,0.0
0.361,escalate,3.0,10,-1.4343749171530362e-05,-4e-06,0.10647814720869064,24.0,34.0,0,0.0
0.3711,escalate,3.0,10,1.3141687304596417e-05,-4e-06,-0.15971437096595764,23.5,34.0,0,0.0
0.381,escalate,3.0,10,1.3141687304596417e-05,-4e-06,-0.07369890064001083,23.5,34.0,0,0.0
0.391,escalate,3.0,10,1.3141687304596417e-05,-4e-06,0.032777342945337296,23.5,34.0,0,0.0
0.4001,escalate,3.0,10,1.3141687304596417e-05,-4e-06,0.02046078070998192,24.0,34.0,0,0.0
0.4111,escalate,3.0,10,-2.46278868871741e-05,-5e-06,-0.1273106038570404,23.5,34.0,0,0.0
0.4327,escalate,3.0,10,1.3162043615011498e-05,-5e-06,-0.11550815403461456,24.0,34.0,0,0.0
0.4343,escalate,3.0,10,1.3162043615011498e-05,-5e-06,1.744936417580334e-09,23.5,34.0,0,0.0
0.4406,escalate,3.0,10,1.3162043615011498e-05,-5e-06,-0.03253427520394325,23.5,34.0,0,0.0
0.4511,escalate,3.0,10,1.3162043615011498e-05,-5e-06,-0.053277745842933655,23.5,34.0,0,0.0
0.461,escalate,3.0,10,1.3162043615011498e-05,-5e-06,-0.15983325242996216,23.5,34.0,0,0.0
0.4711,escalate,3.0,10,1.3162043615011498e-05,-5e-06,-0.11834630370140076,23.5,34.0,0,0.0
0.481,escalate,3.0,10,1.3162043615011498e-05,-5e-06,-0.127298966050148,24.0,34.0,0,0.0
0.491,escalate,3.0,10,1.3162043615011498e-05,-5e-06,7.193173612307646e-09,24.0,34.0,0,0.0
0.501,escalate,3.0,10,-5.348046761355363e-05,-6e-06,-0.10663547366857529,23.5,34.0,0,0.0
0.511,escalate,3.0,10,1.0774667316582054e-05,-6e-06,-0.04205169901251793,24.0,34.0,0,0.0
0.5208,escalate,3.0,10,1.3141635463398416e-05,-6e-06,-0.12765640020370483,23.5,34.0,0,0.0
0.531,escalate,3.0,10,1.3141635463398416e-05,-6e-06,-0.15994691848754883,24.0,34.0,0,0.0
0.541,escalate,3.0,10,-9.518813021713868e-05,-7e-06,-0.05335512012243271,23.5,34.0,0,0.0
0.5511,escalate,3.0,10,7.550694590463536e-06,-7e-06,-0.13874748349189758,23.5,34.0,0,0.0
0.561,escalate,3.0,10,1.5488200006075203e-05,-7e-06,-0.05335180088877678,23.5,34.0,0,0.0
0.571,escalate,3.0,10,1.5488200006075203e-05,-7e-06,-0.08539753407239914,23.5,34.0,0,0.0
0.581,escalate,3.0,10,1.5488200006075203e-05,-7e-06,0.053351789712905884,23.5,34.0,0,0.0
0.591,escalate,3.0,10,-0.0002318195765838027,-1e-05,-0.13835935294628143,23.5,34.0,0,0.0
0.601,escalate,3.0,10,-1.4274385193857597e-06,-1e-05,-0.10683891177177429,23.5,34.0,0,0.0
0.611,escalate,3.0,10,1.310086554440204e-05,-1e-05,-0.10683804005384445,23.5,34.0,0,0.0
0.621,escalate,3.0,10,1.310086554440204e-05,-1e-05,-0.1287049651145935,23.5,34.0,0,0.0
0.6395,escalate,3.0,10,-0.0001138586230808869,-1e-05,-0.06596661359071732,23.5,34.0,0,0.0
