t_s,K,D,phase,theta_d,theta,omega,tau_cmd,tau_meas,q_current_A,fet,fault
-1.0,50,10.0,settle,10.166534423828125,10.166534423828125,-6.57070586385089e-06,6.57070586385089e-05,-0.4633062481880188,-0.09067609906196594,31.0,0
-0.9982,50,10.0,settle,10.166534423828125,10.166534423828125,-6.57070586385089e-06,6.57070586385089e-05,-0.9879572987556458,-0.19335830211639404,31.0,0
-0.9968,50,10.0,settle,10.166534423828125,10.166534423828125,-6.57070586385089e-06,6.57070586385089e-05,-0.2009807825088501,-0.03933500498533249,31.0,0
-0.9953,50,10.0,settle,10.166534423828125,10.166534423828125,-6.57070586385089e-06,6.57070586385089e-05,-0.38501495122909546,-0.07535329461097717,31.0,0
-0.9939,50,10.0,settle,10.166534423828125,10.166534423828125,-6.57070586385089e-06,6.57070586385089e-05,-0.12268943339586258,-0.024012193083763123,31.0,0
-0.9925,50,10.0,settle,10.166534423828125,10.166534423828125,-6.57070586385089e-06,6.57070586385089e-05,-0.2009807676076889,-0.03933500126004219,31.0,0
-0.9912,50,10.0,settle,10.166534423828125,10.166534423828125,-6.57070586385089e-06,6.57070586385089e-05,0.2009807676076889,0.03933500126004219,31.0,0
-0.9899,50,10.0,settle,10.166534423828125,10.166534423828125,-6.57070586385089e-06,6.57070586385089e-05,-0.24537891149520874,-0.04802439361810684,31.0,0
-0.9885,50,10.0,settle,10.166534423828125,10.166534423828125,-6.57070586385089e-06,6.57070586385089e-05,0.1396360695362091,0.02732890658080578,31.0,0
-0.987,50,10.0,settle,10.166534423828125,10.166534423828125,-6.57070586385089e-06,6.57070586385089e-05,0.7256317734718323,0.14201720058918,31.0,0
-0.9856,50,10.0,settle,10.166534423828125,10.166534423828125,-6.57070586385089e-06,6.57070586385089e-05,0.18403415381908417,-0.024012193083763123,31.0,0
-0.9842,50,10.0,settle,10.166534423828125,10.166534423828125,-6.57070586385089e-06,6.57070586385089e-05,-0.13963603973388672,-0.02732890099287033,31.0,0
-0.9829,50,10.0,settle,10.166534423828125,10.166534423828125,-6.57070586385089e-06,6.57070586385089e-05,-0.3236702084541321,-0.06334719806909561,31.0,0
-0.9816,50,10.0,settle,10.166534423828125,10.166534423828125,-6.57070586385089e-06,6.57070586385089e-05,-0.26232555508613586,-0.051341112703084946,31.0,0
-0.9804,50,10.0,settle,10.166534423828125,10.166534423828125,-6.57070586385089e-06,6.57070586385089e-05,-0.7256317734718323,-0.14201720058918,31.0,0
