phase,t_s,encoder0,position,fault
still,0.0793,0.3085938096046448,0.00616455078125,0
still,0.08,0.3085938096046448,0.00616455078125,0
still,0.0808,0.3085938096046448,0.00616455078125,0
still,0.0815,0.3085938096046448,0.00616455078125,0
still,0.0822,0.3085938096046448,0.00616455078125,0
still,0.0829,0.3085938096046448,0.00616455078125,0
still,0.0836,0.3085938096046448,0.00616455078125,0
still,0.0843,0.3085938096046448,0.00616455078125,0
still,0.085,0.3085938096046448,0.00616455078125,0
still,0.0858,0.3085938096046448,0.00616455078125,0
still,0.0865,0.3085938096046448,0.00616455078125,0
still,0.0871,0.3085938096046448,0.00616455078125,0
still,0.0878,0.3085938096046448,0.00616455078125,0
still,0.0885,0.3085938096046448,0.00616455078125,0
still,0.0892,0.3085938096046448,0.00616455078125,0
still,0.0899,0.3085938096046448,0.00616455078125,0
still,0.0906,0.3085938096046448,0.00616455078125,0
still,0.0912,0.3085938096046448,0.00616455078125,0
still,0.0919,0.3085938096046448,0.00616455078125,0
still,0.0926,0.3085938096046448,0.00616455078125,0
still,0.0932,0.3085938096046448,0.00616455078125,0
still,0.0939,0.3085938096046448,0.00616455078125,0
still,0.0946,0.3085938096046448,0.00616455078125,0
still,0.0952,0.3085938096046448,0.00616455078125,0
still,0.0959,0.3085938096046448,0.00616455078125,0
still,0.0965,0.3085938096046448,0.00616455078125,0
still,0.0971,0.3085938096046448,0.00616455078125,0
still,0.0978,0.3085938096046448,0.00616455078125,0
still,0.0984,0.3085938096046448,0.00616455078125,0
still,0.0991,0.3085938096046448,0.00616455078125,0
still,0.0998,0.3085938096046448,0.00616455078125,0
still,0.1004,0.3085938096046448,0.00616455078125,0
still,0.101,0.3085938096046448,0.00616455078125,0
still,0.1018,0.3085938096046448,0.00616455078125,0
still,0.1024,0.3085938096046448,0.00616455078125,0
still,0.1031,0.3085938096046448,0.00616455078125,0
still,0.1039,0.3085938096046448,0.00616455078125,0
still,0.1045,0.3085938096046448,0.00616455078125,0
still,0.1052,0.3085938096046448,0.00616455078125,0
still,0.1059,0.3085938096046448,0.00616455078125,0
still,0.1065,0.3085938096046448,0.00616455078125,0
still,0.1073,0.3085938096046448,0.00616455078125,0
still,0.108,0.3085938096046448,0.00616455078125,0
still,0.1086,0.3085938096046448,0.00616455078125,0
still,0.1092,0.3085938096046448,0.00616455078125,0
still,0.1099,0.3085938096046448,0.00616455078125,0
still,0.1105,0.3085938096046448,0.00616455078125,0
still,0.1112,0.3085938096046448,0.00616455078125,0
still,0.1119,0.3085938096046448,0.00616455078125,0
still,0.1125,0.3085938096046448,0.00616455078125,0
still,0.1132,0.3085938096046448,0.00616455078125,0
still,0.1138,0.3085938096046448,0.00616455078125,0
still,0.1144,0.3085938096046448,0.00616455078125,0
still,0.1151,0.3085938096046448,0.00616455078125,0
still,0.1157,0.3085938096046448,0.00616455078125,0
still,0.1164,0.3085938096046448,0.00616455078125,0
still,0.1171,0.3085938096046448,0.00616455078125,0
still,0.1178,0.3085938096046448,0.00616455078125,0
still,0.1184,0.3085938096046448,0.00616455078125,0
still,0.1191,0.3085938096046448,0.00616455078125,0
still,0.1198,0.3085938096046448,0.00616455078125,0
still,0.1204,0.3085938096046448,0.00616455078125,0
still,0.1211,0.3085938096046448,0.00616455078125,0
still,0.1218,0.3085938096046448,0.00616455078125,0
still,0.1224,0.3085938096046448,0.00616455078125,0
still,0.1231,0.3085938096046448,0.00616455078125,0
still,0.1239,0.3085938096046448,0.00616455078125,0
still,0.1245,0.3085938096046448,0.00616455078125,0
still,0.1252,0.3085938096046448,0.00616455078125,0
still,0.1258,0.3085938096046448,0.00616455078125,0
still,0.1265,0.3085938096046448,0.00616455078125,0
still,0.1271,0.3085938096046448,0.00616455078125,0
still,0.1278,0.3085938096046448,0.00616455078125,0
still,0.1285,0.3085938096046448,0.00616455078125,0
still,0.1292,0.3085938096046448,0.00616455078125,0
still,0.1299,0.3085938096046448,0.00616455078125,0
still,0.1305,0.3085938096046448,0.00616455078125,0
still,0.1313,0.3085938096046448,0.00616455078125,0
still,0.1319,0.3085938096046448,0.00616455078125,0
still,0.1326,0.3085938096046448,0.00616455078125,0
still,0.1332,0.3085938096046448,0.00616455078125,0
still,0.1339,0.3085938096046448,0.00616455078125,0
still,0.1346,0.3085938096046448,0.00616455078125,0
still,0.1353,0.3085938096046448,0.00616455078125,0
still,0.136,0.3085938096046448,0.00616455078125,0
still,0.1367,0.3085938096046448,0.00616455078125,0
still,0.1374,0.3085938096046448,0.00616455078125,0
still,0.1381,0.3085938096046448,0.00616455078125,0
still,0.1388,0.3085938096046448,0.00616455078125,0
still,0.1395,0.3085938096046448,0.00616455078125,0
still,0.1402,0.3085938096046448,0.00616455078125,0
still,0.1408,0.3085938096046448,0.00616455078125,0
still,0.1415,0.3085938096046448,0.00616455078125,0
still,0.1422,0.3085938096046448,0.00616455078125,0
still,0.1429,0.3085938096046448,0.00616455078125,0
still,0.1435,0.3085938096046448,0.00616455078125,0
still,0.1441,0.3085938096046448,0.00616455078125,0
still,0.1448,0.3085938096046448,0.00616455078125,0
still,0.1454,0.3085938096046448,0.00616455078125,0
still,0.146,0.3085938096046448,0.00616455078125,0
still,0.1467,0.3085938096046448,0.00616455078125,0
still,0.1473,0.3085938096046448,0.00616455078125,0
still,0.148,0.3085938096046448,0.00616455078125,0
still,0.1486,0.3085938096046448,0.00616455078125,0
still,0.1492,0.3085938096046448,0.00616455078125,0
still,0.1499,0.3085938096046448,0.00616455078125,0
still,0.1505,0.3085938096046448,0.00616455078125,0
still,0.1511,0.3085938096046448,0.00616455078125,0
still,0.1518,0.3085938096046448,0.00616455078125,0
still,0.1524,0.3085938096046448,0.00616455078125,0
still,0.1531,0.3085938096046448,0.00616455078125,0
still,0.1537,0.3085938096046448,0.00616455078125,0
still,0.1544,0.3085938096046448,0.00616455078125,0
still,0.155,0.3085938096046448,0.00616455078125,0
still,0.1557,0.3085938096046448,0.00616455078125,0
still,0.1564,0.3085938096046448,0.00616455078125,0
still,0.157,0.3085938096046448,0.00616455078125,0
still,0.1578,0.3085938096046448,0.00616455078125,0
still,0.1585,0.3085938096046448,0.00616455078125,0
still,0.1593,0.3085938096046448,0.00616455078125,0
still,0.16,0.3085938096046448,0.00616455078125,0
still,0.1608,0.3085938096046448,0.00616455078125,0
still,0.1615,0.3085938096046448,0.00616455078125,0
still,0.1622,0.3085938096046448,0.00616455078125,0
still,0.1629,0.3085938096046448,0.00616455078125,0
still,0.1635,0.3085938096046448,0.00616455078125,0
still,0.1642,0.3085938096046448,0.00616455078125,0
still,0.1649,0.3085938096046448,0.00616455078125,0
still,0.1656,0.3085938096046448,0.00616455078125,0
still,0.1662,0.3085938096046448,0.00616455078125,0
still,0.1669,0.3085938096046448,0.00616455078125,0
still,0.1676,0.3085938096046448,0.00616455078125,0
still,0.1683,0.3085938096046448,0.00616455078125,0
still,0.169,0.3085938096046448,0.00616455078125,0
still,0.1698,0.3085938096046448,0.00616455078125,0
still,0.1704,0.3085938096046448,0.00616455078125,0
still,0.1711,0.3085938096046448,0.00616455078125,0
still,0.1718,0.3085938096046448,0.00616455078125,0
still,0.1725,0.3085938096046448,0.00616455078125,0
still,0.1732,0.3085938096046448,0.00616455078125,0
still,0.1738,0.3085938096046448,0.00616455078125,0
still,0.1745,0.3085938096046448,0.00616455078125,0
still,0.1751,0.3085938096046448,0.00616455078125,0
still,0.1758,0.3085938096046448,0.00616455078125,0
still,0.1764,0.3085938096046448,0.00616455078125,0
still,0.1771,0.3085938096046448,0.00616455078125,0
still,0.1778,0.3085938096046448,0.00616455078125,0
still,0.1785,0.3085938096046448,0.00616455078125,0
still,0.1791,0.3085938096046448,0.00616455078125,0
still,0.1798,0.3085938096046448,0.00616455078125,0
still,0.1805,0.3085938096046448,0.00616455078125,0
still,0.1812,0.3085938096046448,0.00616455078125,0
still,0.1819,0.3085938096046448,0.00616455078125,0
still,0.1826,0.3085938096046448,0.00616455078125,0
still,0.1832,0.3085938096046448,0.00616455078125,0
still,0.1839,0.3085938096046448,0.00616455078125,0
still,0.1845,0.3085938096046448,0.00616455078125,0
still,0.1852,0.3085938096046448,0.00616455078125,0
still,0.186,0.3085938096046448,0.00616455078125,0
still,0.1866,0.3085938096046448,0.00616455078125,0
still,0.1873,0.3085938096046448,0.00616455078125,0
still,0.188,0.3085938096046448,0.00616455078125,0
still,0.1888,0.3085938096046448,0.00616455078125,0
still,0.1895,0.3085938096046448,0.00616455078125,0
still,0.1902,0.3085938096046448,0.00616455078125,0
still,0.1909,0.3085938096046448,0.00616455078125,0
still,0.1916,0.3085938096046448,0.00616455078125,0
still,0.1923,0.3085938096046448,0.00616455078125,0
still,0.193,0.3085938096046448,0.00616455078125,0
still,0.1936,0.3085938096046448,0.00616455078125,0
still,0.1943,0.3085938096046448,0.00616455078125,0
still,0.195,0.3085938096046448,0.00616455078125,0
still,0.1956,0.3085938096046448,0.00616455078125,0
still,0.1963,0.3085938096046448,0.00616455078125,0
still,0.197,0.3085938096046448,0.00616455078125,0
still,0.1978,0.3085938096046448,0.00616455078125,0
still,0.1985,0.3085938096046448,0.00616455078125,0
still,0.1992,0.3085938096046448,0.00616455078125,0
still,0.1999,0.3085938096046448,0.00616455078125,0
still,0.2005,0.3085938096046448,0.00616455078125,0
still,0.2012,0.3085938096046448,0.00616455078125,0
still,0.2019,0.3085938096046448,0.00616455078125,0
still,0.2025,0.3085938096046448,0.00616455078125,0
still,0.2032,0.3085938096046448,0.00616455078125,0
still,0.2039,0.3085938096046448,0.00616455078125,0
still,0.2046,0.3085938096046448,0.00616455078125,0
still,0.2053,0.3085938096046448,0.00616455078125,0
still,0.206,0.3085938096046448,0.00616455078125,0
still,0.2068,0.3085938096046448,0.00616455078125,0
still,0.2075,0.3085938096046448,0.00616455078125,0
still,0.2081,0.3085938096046448,0.00616455078125,0
still,0.2088,0.3085938096046448,0.00616455078125,0
still,0.2095,0.3085938096046448,0.00616455078125,0
still,0.2102,0.3085938096046448,0.00616455078125,0
still,0.2108,0.3085938096046448,0.00616455078125,0
still,0.2115,0.3085938096046448,0.00616455078125,0
still,0.2122,0.3085938096046448,0.00616455078125,0
still,0.2129,0.3085938096046448,0.00616455078125,0
still,0.2136,0.3085938096046448,0.00616455078125,0
still,0.2143,0.3085938096046448,0.00616455078125,0
still,0.2149,0.3085938096046448,0.00616455078125,0
still,0.2156,0.3085938096046448,0.00616455078125,0
still,0.2163,0.3085938096046448,0.00616455078125,0
still,0.217,0.3085938096046448,0.00616455078125,0
still,0.2177,0.3085938096046448,0.00616455078125,0
still,0.2184,0.3085938096046448,0.00616455078125,0
still,0.219,0.3085938096046448,0.00616455078125,0
still,0.2197,0.3085938096046448,0.00616455078125,0
still,0.2203,0.3085938096046448,0.00616455078125,0
still,0.221,0.3085938096046448,0.00616455078125,0
still,0.2218,0.3085938096046448,0.00616455078125,0
still,0.2224,0.3085938096046448,0.00616455078125,0
still,0.2231,0.3085938096046448,0.00616455078125,0
still,0.2238,0.3085938096046448,0.00616455078125,0
still,0.2245,0.3085938096046448,0.00616455078125,0
still,0.2252,0.3085938096046448,0.00616455078125,0
still,0.2259,0.3085938096046448,0.00616455078125,0
still,0.2266,0.3085938096046448,0.00616455078125,0
still,0.2273,0.3085938096046448,0.00616455078125,0
still,0.228,0.3085938096046448,0.00616455078125,0
still,0.2287,0.3085938096046448,0.00616455078125,0
still,0.2294,0.3085938096046448,0.00616455078125,0
still,0.2301,0.3085938096046448,0.00616455078125,0
still,0.2308,0.3085938096046448,0.00616455078125,0
still,0.2315,0.3085938096046448,0.00616455078125,0
still,0.2322,0.3085938096046448,0.00616455078125,0
still,0.2329,0.3085938096046448,0.00616455078125,0
still,0.2338,0.3085938096046448,0.00616455078125,0
still,0.2345,0.3085938096046448,0.00616455078125,0
still,0.2352,0.3085938096046448,0.00616455078125,0
still,0.2359,0.3085938096046448,0.00616455078125,0
still,0.2366,0.3085938096046448,0.00616455078125,0
still,0.2373,0.3085938096046448,0.00616455078125,0
still,0.238,0.3085938096046448,0.00616455078125,0
still,0.2387,0.3085938096046448,0.00616455078125,0
still,0.2394,0.3085938096046448,0.00616455078125,0
still,0.2401,0.3085938096046448,0.00616455078125,0
still,0.2408,0.3085938096046448,0.00616455078125,0
still,0.2414,0.3085938096046448,0.00616455078125,0
still,0.2421,0.3085938096046448,0.00616455078125,0
still,0.2428,0.3085938096046448,0.00616455078125,0
still,0.2434,0.3085938096046448,0.00616455078125,0
still,0.2441,0.3085938096046448,0.00616455078125,0
still,0.2448,0.3085938096046448,0.00616455078125,0
still,0.2454,0.3085938096046448,0.00616455078125,0
still,0.2461,0.3085938096046448,0.00616455078125,0
still,0.2467,0.3085938096046448,0.00616455078125,0
still,0.2478,0.3085938096046448,0.00616455078125,0
still,0.2488,0.3085938096046448,0.00616455078125,0
still,0.2498,0.3085938096046448,0.00616455078125,0
still,0.2508,0.3085938096046448,0.00616455078125,0
still,0.2518,0.3085938096046448,0.00616455078125,0
still,0.2528,0.3085938096046448,0.00616455078125,0
still,0.254,0.3085938096046448,0.00616455078125,0
still,0.2548,0.3085938096046448,0.00616455078125,0
still,0.2558,0.3085938096046448,0.00616455078125,0
still,0.2567,0.3085938096046448,0.00616455078125,0
still,0.2578,0.3085938096046448,0.00616455078125,0
still,0.2588,0.3085938096046448,0.00616455078125,0
still,0.2598,0.3085938096046448,0.00616455078125,0
still,0.2608,0.3085938096046448,0.00616455078125,0
still,0.2618,0.3085938096046448,0.00616455078125,0
still,0.2628,0.3085938096046448,0.00616455078125,0
still,0.2638,0.3085938096046448,0.00616455078125,0
still,0.2648,0.3085938096046448,0.00616455078125,0
still,0.2658,0.3085938096046448,0.00616455078125,0
still,0.2668,0.3085938096046448,0.00616455078125,0
still,0.2678,0.3085938096046448,0.00616455078125,0
still,0.2688,0.3085938096046448,0.00616455078125,0
still,0.2698,0.3085938096046448,0.00616455078125,0
