phase,t_s,encoder0,position,fault
still,0.0761,0.2911987602710724,0.0058135986328125,0
still,0.0769,0.2911987602710724,0.0058135986328125,0
still,0.0776,0.2911987602710724,0.0058135986328125,0
still,0.0783,0.2911987602710724,0.0058135986328125,0
still,0.079,0.2911987602710724,0.0058135986328125,0
still,0.0797,0.2911987602710724,0.0058135986328125,0
still,0.0805,0.2911987602710724,0.0058135986328125,0
still,0.0812,0.2911987602710724,0.0058135986328125,0
still,0.0819,0.2911987602710724,0.0058135986328125,0
still,0.0825,0.2911987602710724,0.0058135986328125,0
still,0.0832,0.2911987602710724,0.0058135986328125,0
still,0.0839,0.2911987602710724,0.0058135986328125,0
still,0.0845,0.2911987602710724,0.0058135986328125,0
still,0.0852,0.2911987602710724,0.0058135986328125,0
still,0.0859,0.2911987602710724,0.0058135986328125,0
still,0.0866,0.2911987602710724,0.0058135986328125,0
still,0.0873,0.2911987602710724,0.0058135986328125,0
still,0.0879,0.2911987602710724,0.0058135986328125,0
still,0.0886,0.2911987602710724,0.0058135986328125,0
still,0.0893,0.2911987602710724,0.0058135986328125,0
still,0.09,0.2911987602710724,0.0058135986328125,0
still,0.0907,0.2911987602710724,0.0058135986328125,0
still,0.0914,0.2911987602710724,0.0058135986328125,0
still,0.0921,0.2911987602710724,0.0058135986328125,0
still,0.0928,0.2911987602710724,0.0058135986328125,0
still,0.0935,0.2911987602710724,0.0058135986328125,0
still,0.0942,0.2911987602710724,0.0058135986328125,0
still,0.0949,0.2911987602710724,0.0058135986328125,0
still,0.0956,0.2911987602710724,0.0058135986328125,0
still,0.0963,0.2911987602710724,0.0058135986328125,0
still,0.0969,0.2911987602710724,0.0058135986328125,0
still,0.0976,0.2911987602710724,0.0058135986328125,0
still,0.0983,0.2911987602710724,0.0058135986328125,0
still,0.099,0.2911987602710724,0.0058135986328125,0
still,0.0997,0.2911987602710724,0.0058135986328125,0
still,0.1003,0.2911987602710724,0.0058135986328125,0
still,0.101,0.2911987602710724,0.0058135986328125,0
still,0.1017,0.2911987602710724,0.0058135986328125,0
still,0.1025,0.2911987602710724,0.0058135986328125,0
still,0.1031,0.2911987602710724,0.0058135986328125,0
still,0.1038,0.2911987602710724,0.0058135986328125,0
still,0.1045,0.2911987602710724,0.0058135986328125,0
still,0.1051,0.2911987602710724,0.0058135986328125,0
still,0.1057,0.2911987602710724,0.0058135986328125,0
still,0.1064,0.2911987602710724,0.0058135986328125,0
still,0.1071,0.2911987602710724,0.0058135986328125,0
still,0.1077,0.2911987602710724,0.0058135986328125,0
still,0.1083,0.2911987602710724,0.0058135986328125,0
still,0.1089,0.2911987602710724,0.0058135986328125,0
still,0.1096,0.2911987602710724,0.0058135986328125,0
still,0.1102,0.2911987602710724,0.0058135986328125,0
still,0.1108,0.2911987602710724,0.0058135986328125,0
still,0.1115,0.2911987602710724,0.0058135986328125,0
still,0.1121,0.2911987602710724,0.0058135986328125,0
still,0.1128,0.2911987602710724,0.0058135986328125,0
still,0.1134,0.2911987602710724,0.0058135986328125,0
still,0.1141,0.2911987602710724,0.0058135986328125,0
still,0.1147,0.2911987602710724,0.0058135986328125,0
still,0.1154,0.2911987602710724,0.0058135986328125,0
still,0.1161,0.2911987602710724,0.0058135986328125,0
still,0.1167,0.2911987602710724,0.0058135986328125,0
still,0.1175,0.2911987602710724,0.0058135986328125,0
still,0.1182,0.2911987602710724,0.0058135986328125,0
still,0.1189,0.2911987602710724,0.0058135986328125,0
still,0.1196,0.2911987602710724,0.0058135986328125,0
still,0.1203,0.2911987602710724,0.0058135986328125,0
still,0.1209,0.2911987602710724,0.0058135986328125,0
still,0.1216,0.2911987602710724,0.0058135986328125,0
still,0.1222,0.2911987602710724,0.0058135986328125,0
still,0.1229,0.2911987602710724,0.0058135986328125,0
still,0.1236,0.2911987602710724,0.0058135986328125,0
still,0.1243,0.2911987602710724,0.0058135986328125,0
still,0.125,0.2911987602710724,0.0058135986328125,0
still,0.1256,0.2911987602710724,0.0058135986328125,0
still,0.1263,0.2911987602710724,0.0058135986328125,0
still,0.127,0.2911987602710724,0.0058135986328125,0
still,0.1277,0.2911987602710724,0.0058135986328125,0
still,0.1285,0.2911987602710724,0.0058135986328125,0
still,0.1292,0.2911987602710724,0.0058135986328125,0
still,0.1298,0.2911987602710724,0.0058135986328125,0
still,0.1305,0.2911987602710724,0.0058135986328125,0
still,0.1312,0.2911987602710724,0.0058135986328125,0
still,0.1319,0.2911987602710724,0.0058135986328125,0
still,0.1325,0.2911987602710724,0.0058135986328125,0
still,0.1332,0.2911987602710724,0.0058135986328125,0
still,0.1339,0.2911987602710724,0.0058135986328125,0
still,0.1345,0.2911987602710724,0.0058135986328125,0
still,0.1355,0.2911987602710724,0.0058135986328125,0
still,0.1363,0.2911987602710724,0.0058135986328125,0
still,0.1369,0.2911987602710724,0.0058135986328125,0
still,0.1376,0.2911987602710724,0.0058135986328125,0
still,0.1382,0.2911987602710724,0.0058135986328125,0
still,0.1388,0.2911987602710724,0.0058135986328125,0
still,0.1395,0.2911987602710724,0.0058135986328125,0
still,0.1402,0.2911987602710724,0.0058135986328125,0
still,0.1408,0.2911987602710724,0.0058135986328125,0
still,0.1414,0.2911987602710724,0.0058135986328125,0
still,0.1421,0.2911987602710724,0.0058135986328125,0
still,0.1427,0.2911987602710724,0.0058135986328125,0
still,0.1435,0.2911987602710724,0.0058135986328125,0
still,0.1443,0.2911987602710724,0.0058135986328125,0
still,0.1449,0.2911987602710724,0.0058135986328125,0
still,0.1456,0.2911987602710724,0.0058135986328125,0
still,0.1462,0.2911987602710724,0.0058135986328125,0
still,0.147,0.2911987602710724,0.0058135986328125,0
still,0.1476,0.2911987602710724,0.0058135986328125,0
still,0.1482,0.2911987602710724,0.0058135986328125,0
still,0.1488,0.2911987602710724,0.0058135986328125,0
still,0.1495,0.2911987602710724,0.0058135986328125,0
still,0.1501,0.2911987602710724,0.0058135986328125,0
still,0.1507,0.2911987602710724,0.0058135986328125,0
still,0.1515,0.2911987602710724,0.0058135986328125,0
still,0.1521,0.2911987602710724,0.0058135986328125,0
still,0.1527,0.2911987602710724,0.0058135986328125,0
still,0.1535,0.2911987602710724,0.0058135986328125,0
still,0.1541,0.2911987602710724,0.0058135986328125,0
still,0.1547,0.2911987602710724,0.0058135986328125,0
still,0.1555,0.2911987602710724,0.0058135986328125,0
still,0.1561,0.2911987602710724,0.0058135986328125,0
still,0.1569,0.2911987602710724,0.0058135986328125,0
still,0.1575,0.2911987602710724,0.0058135986328125,0
still,0.1582,0.2911987602710724,0.0058135986328125,0
still,0.1589,0.2911987602710724,0.0058135986328125,0
still,0.1596,0.2911987602710724,0.0058135986328125,0
still,0.1602,0.2911987602710724,0.0058135986328125,0
still,0.1609,0.2911987602710724,0.0058135986328125,0
still,0.1616,0.2911987602710724,0.0058135986328125,0
still,0.1623,0.2911987602710724,0.0058135986328125,0
still,0.163,0.2911987602710724,0.0058135986328125,0
still,0.1636,0.2911987602710724,0.0058135986328125,0
still,0.1643,0.2911987602710724,0.0058135986328125,0
still,0.1651,0.2911987602710724,0.0058135986328125,0
still,0.1658,0.2911987602710724,0.0058135986328125,0
still,0.1665,0.2911987602710724,0.0058135986328125,0
still,0.1672,0.2911987602710724,0.0058135986328125,0
still,0.1678,0.2911987602710724,0.0058135986328125,0
still,0.1685,0.2911987602710724,0.0058135986328125,0
still,0.1692,0.2911987602710724,0.0058135986328125,0
still,0.1698,0.2911987602710724,0.0058135986328125,0
still,0.1705,0.2911987602710724,0.0058135986328125,0
still,0.1711,0.2911987602710724,0.0058135986328125,0
still,0.1718,0.2911987602710724,0.0058135986328125,0
still,0.1725,0.2911987602710724,0.0058135986328125,0
still,0.1731,0.2911987602710724,0.0058135986328125,0
still,0.1738,0.2911987602710724,0.0058135986328125,0
still,0.1745,0.2911987602710724,0.0058135986328125,0
still,0.1751,0.2911987602710724,0.0058135986328125,0
still,0.1759,0.2911987602710724,0.0058135986328125,0
still,0.1765,0.2911987602710724,0.0058135986328125,0
still,0.1772,0.2911987602710724,0.0058135986328125,0
still,0.1778,0.2911987602710724,0.0058135986328125,0
still,0.1785,0.2911987602710724,0.0058135986328125,0
still,0.1792,0.2911987602710724,0.0058135986328125,0
still,0.1798,0.2911987602710724,0.0058135986328125,0
still,0.1805,0.2911987602710724,0.0058135986328125,0
still,0.1811,0.2911987602710724,0.0058135986328125,0
still,0.1817,0.2911987602710724,0.0058135986328125,0
still,0.1825,0.2911987602710724,0.0058135986328125,0
still,0.1832,0.2911987602710724,0.0058135986328125,0
still,0.1838,0.2911987602710724,0.0058135986328125,0
still,0.1847,0.2911987602710724,0.0058135986328125,0
still,0.1854,0.2911987602710724,0.0058135986328125,0
still,0.1861,0.2911987602710724,0.0058135986328125,0
still,0.1867,0.2911987602710724,0.0058135986328125,0
still,0.1874,0.2911987602710724,0.0058135986328125,0
still,0.188,0.2911987602710724,0.0058135986328125,0
still,0.1886,0.2911987602710724,0.0058135986328125,0
still,0.1893,0.2911987602710724,0.0058135986328125,0
still,0.19,0.2911987602710724,0.0058135986328125,0
still,0.1907,0.2911987602710724,0.0058135986328125,0
still,0.1913,0.2911987602710724,0.0058135986328125,0
still,0.192,0.2911987602710724,0.0058135986328125,0
still,0.1927,0.2911987602710724,0.0058135986328125,0
still,0.1934,0.2911987602710724,0.0058135986328125,0
still,0.1941,0.2911987602710724,0.0058135986328125,0
