t_s,pos_deg,vel_rps,tau_cmd,rotor_phase,fault
0.001,0.0,3.608718998293625e-06,0.243,0.3114,0
0.0021,0.0,3.608718998293625e-06,0.477,0.3114,0
0.003,0.0,3.608718998293625e-06,0.685,0.3114,0
0.0054,0.0,3.608718998293625e-06,1.133,0.3114,0
0.0064,0.0,3.608718998293625e-06,1.268,0.3114,0
0.0074,0.0,3.608718998293625e-06,1.374,0.3114,0
0.0083,0.0,3.608718998293625e-06,1.448,0.3114,0
0.0093,0.0,3.608718998293625e-06,1.491,0.3114,0
0.0102,0.0,3.608718998293625e-06,1.5,0.3114,0
0.0114,0.0,3.608718998293625e-06,1.465,0.3114,0
0.0124,0.0,3.608718998293625e-06,1.399,0.3114,0
0.0133,0.0,3.608718998293625e-06,1.299,0.3114,0
0.0143,0.0,3.608718998293625e-06,1.168,0.3114,0
0.0153,0.0,3.608718998293625e-06,1.018,0.3114,0
0.0162,0.0,3.608718998293625e-06,0.839,0.3114,0
0.0174,0.0,3.608718998293625e-06,0.592,0.3114,0
0.0184,0.0,3.608718998293625e-06,0.381,0.3114,0
0.0193,0.0,3.608718998293625e-06,0.159,0.3114,0
0.0203,0.0,3.608718998293625e-06,-0.075,0.3114,0
0.0213,0.0,3.608718998293625e-06,-0.31,0.3114,0
0.0223,0.0,3.608718998293625e-06,-0.54,0.3114,0
0.0234,0.0,3.608718998293625e-06,-0.753,0.3114,0
0.0243,0.0,3.608718998293625e-06,-0.946,0.3114,0
0.0253,0.0,3.608718998293625e-06,-1.114,0.3114,0
0.0263,0.0,3.608718998293625e-06,-1.252,0.3114,0
0.0273,0.0,3.608718998293625e-06,-1.361,0.3114,0
0.0283,0.0,3.608718998293625e-06,-1.444,0.3114,0
0.0293,0.0,3.608718998293625e-06,-1.489,0.3114,0
0.0303,0.0,3.608718998293625e-06,-1.498,0.3114,0
0.0313,0.0,-8.09289122116752e-05,-1.489,0.3114,0
0.0324,0.0,-0.00021676452888641506,-1.458,0.3114,0
0.0333,0.0,-0.00022025377256795764,-1.359,0.3114,0
0.0343,0.0,-0.0001854837901191786,-1.22,0.3114,0
0.0353,0.0,-0.00014312315033748746,-1.057,0.3114,0
0.0363,0.0,-0.00010859800386242568,-0.86,0.3114,0
0.0373,0.0,-7.792938413331285e-05,-0.647,0.3114,0
0.0383,0.0,-5.436168794403784e-05,-0.421,0.3114,0
0.0393,0.0,-3.691546953632496e-05,-0.183,0.3114,0
0.0403,0.0,-2.4917369955801405e-05,0.054,0.3114,0
0.0413,0.0,-1.6347299606422894e-05,0.291,0.3114,0
0.0423,0.0,-1.083796814782545e-05,0.524,0.3114,0
0.0433,0.0,-6.920221949258121e-06,0.745,0.3114,0
0.0443,0.0,-4.471629836189095e-06,0.931,0.3114,0
0.0453,0.0,-2.3291120214707917e-06,1.11,0.3114,0
0.0463,0.0,3.066566205234267e-05,1.262,0.3114,0
0.0473,0.0,0.00020298529125284404,1.421,0.3114,0
0.0483,0.0,0.0002293076686328277,1.51,0.3114,0
0.0493,0.0,0.00020096523803658783,1.547,0.3114,0
0.0503,0.0,0.00026524075656197965,1.573,0.3114,0
0.0513,0.0,0.0006395080708898604,1.65,0.3114,0
0.0523,0.0,0.0007578975055366755,1.62,0.3114,0
0.0534,0.0,0.0008351504802703857,1.53,0.3114,0
0.0543,0.005,0.0007520208600908518,1.375,0.3121,0
0.0554,0.005,0.0007010900299064815,1.194,0.3121,0
0.0565,0.005,0.0006715845665894449,0.976,0.3121,0
0.0575,0.005,0.0007394718122668564,0.784,0.3121,0
0.0585,0.005,0.0006353454082272947,0.537,0.3121,0
0.0594,0.005,0.0006827869219705462,0.326,0.3121,0
0.0604,0.005,0.000608716974966228,0.079,0.3121,0
0.0614,0.005,0.0004840836627408862,-0.184,0.3121,0
0.0624,0.005,0.00037401943700388074,-0.439,0.3121,0
0.0634,0.005,0.00026230240473523736,-0.694,0.3121,0
0.0645,0.005,0.00018517176795285195,-0.916,0.3121,0
0.0655,0.005,0.0001284256431972608,-1.101,0.3121,0
0.0665,0.005,8.459584933007136e-05,-1.251,0.3121,0
0.0675,0.005,5.962021532468498e-05,-1.365,0.3121,0
0.0684,0.005,-0.00034549928386695683,-1.553,0.3121,0
0.0694,0.0,-0.0007823892519809306,-1.713,0.3114,0
0.0704,0.0,-0.0008616623235866427,-1.739,0.3114,0
0.0714,0.0,-0.0007636574446223676,-1.68,0.3114,0
0.0724,0.0,-0.0006044989568181336,-1.567,0.3114,0
0.0734,0.0,-0.00043762734276242554,-1.411,0.3114,0
0.0744,0.0,-0.0003148916584905237,-1.242,0.3114,0
0.0754,0.0,-0.00022178396466188133,-1.051,0.3114,0
0.0764,0.0,-0.0001537131320219487,-0.852,0.3114,0
0.0773,0.0,-0.00023604700982104987,-0.679,0.3114,0
0.0783,0.0,-0.00029756786534562707,-0.485,0.3114,0
0.0793,0.0,-0.00027559176669456065,-0.248,0.3114,0
