t_s,pos_deg,vel_rps,tau_cmd,rotor_phase,e1_deg,fault
0.0014,0.0,3.550143674146966e-06,-1.241,0.3197,202.921,0
0.0028,0.0,3.550143674146966e-06,-1.241,0.3197,202.997,0
0.0042,0.0,3.550143674146966e-06,-1.241,0.3197,202.962,0
0.0058,0.0,3.550143674146966e-06,-1.241,0.3197,202.982,0
0.0072,0.0,3.550143674146966e-06,-1.241,0.3197,202.962,0
0.0086,0.0,3.550143674146966e-06,-1.241,0.3197,202.942,0
0.0099,0.0,3.550143674146966e-06,-1.241,0.3197,202.967,0
0.0113,0.0,3.550143674146966e-06,-1.241,0.3197,202.955,0
0.0126,0.0,3.550143674146966e-06,-1.241,0.3197,202.961,0
0.014,0.0,3.550143674146966e-06,-1.241,0.3197,202.941,0
0.0153,0.0,3.550143674146966e-06,-1.241,0.3197,202.948,0
0.0165,0.0,3.550143674146966e-06,-1.241,0.3197,202.974,0
0.0178,0.0,3.550143674146966e-06,-1.241,0.3197,202.944,0
0.0192,0.0,3.550143674146966e-06,-1.241,0.3197,202.951,0
0.0206,0.0,3.550143674146966e-06,-1.241,0.3197,202.924,0
0.0219,0.0,3.550143674146966e-06,-1.241,0.3197,202.969,0
0.0233,0.0,3.550143674146966e-06,-1.241,0.3197,202.957,0
0.0246,0.0,-0.0004783327167388052,-1.351,0.3197,202.982,0
0.0259,0.0,-0.0006725671701133251,-1.396,0.3197,202.997,0
0.0272,0.0,-0.0005604216130450368,-1.37,0.3197,202.95,0
0.0287,0.0,-0.00038700009463354945,-1.33,0.3197,202.953,0
0.0301,0.0,-0.000246083625825122,-1.298,0.3197,202.958,0
0.0316,0.0,-0.0001442834036424756,-1.275,0.3197,202.955,0
0.033,0.0,-8.545597665943205e-05,-1.261,0.3197,202.986,0
0.0345,0.0,-4.585001079249196e-05,-1.252,0.3197,202.946,0
0.0359,0.0,-2.742435572145041e-05,-1.248,0.3197,203.0,0
0.0374,0.0,-1.5181397429842036e-05,-1.245,0.3197,202.938,0
0.0387,0.0,-8.325338967551943e-06,-1.244,0.3197,202.961,0
0.0402,0.0,-4.3463774090923835e-06,-1.243,0.3197,202.975,0
0.0415,0.0,-1.4692818695039023e-06,-1.242,0.3197,202.995,0
0.0428,0.0,1.835178693454509e-07,-1.242,0.3197,202.954,0
0.0442,0.0,1.5914583855192177e-06,-1.241,0.3197,202.994,0
0.0457,0.0,2.5096803710766835e-06,-1.241,0.3197,202.942,0
0.0471,0.0,3.4279003102710703e-06,-1.241,0.3197,202.924,0
0.0484,0.0,3.5503296658134786e-06,-1.241,0.3197,202.947,0
0.0497,0.0,3.5503296658134786e-06,-1.241,0.3197,202.973,0
0.051,0.0,3.5503296658134786e-06,-1.241,0.3197,202.985,0
0.0523,0.0,3.5503296658134786e-06,-1.241,0.3197,202.971,0
0.0537,0.0,3.5503296658134786e-06,-1.241,0.3197,202.952,0
